Acedamic percentage in 10th,percentage in 12th,Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,Interested subjects,interested career area,Suggested Job Role
80,79,4,3,1,9,yes,yes,machine learning,cloud computing,Computer Architecture,testing,Applications Developer
80,73,1,2,3,8,yes,yes,python,system designing,data engineering,security,Applications Developer
80,69,5,1,5,4,no,no,machine learning,game development,parallel computing,developer,Applications Developer
80,75,9,4,9,4,yes,no,hadoop,web technologies,Software Engineering,testing,Applications Developer
80,70,2,1,9,8,yes,yes,python,hacking,cloud computing,system developer,Applications Developer
80,72,4,4,5,1,no,yes,shell programming,hacking,programming,system developer,Applications Developer
80,63,1,5,5,9,yes,no,full stack,system designing,Software Engineering,developer,Applications Developer
80,62,1,3,7,3,yes,yes,r programming,database security,programming,system developer,Applications Developer
80,62,7,5,2,8,no,no,full stack,testing,networks,developer,Applications Developer
80,68,8,4,9,4,yes,no,information security,cloud computing,IOT,developer,Applications Developer
85,72,1,2,3,5,no,no,full stack,game development,Computer Architecture,system developer,Applications Developer
85,80,5,6,7,9,yes,yes,distro making,cloud computing,parallel computing,testing,Applications Developer
85,65,9,6,3,5,no,no,app development,hacking,Computer Architecture,security,Applications Developer
85,70,4,6,1,9,yes,no,shell programming,cloud computing,parallel computing,cloud computing,Applications Developer
85,78,6,1,7,4,no,yes,information security,web technologies,parallel computing,Business process analyst,Applications Developer
85,60,6,0,7,7,yes,yes,app development,game development,parallel computing,testing,Applications Developer
85,75,4,5,1,4,yes,no,shell programming,game development,hacking,Business process analyst,Applications Developer
85,77,4,4,8,4,no,no,distro making,cloud computing,programming,Business process analyst,Applications Developer
85,71,6,4,2,7,no,no,distro making,database security,networks,security,Applications Developer
85,79,1,0,6,6,no,yes,hadoop,system designing,cloud computing,security,Applications Developer
85,74,3,1,5,4,no,yes,full stack,data science,Computer Architecture,developer,Applications Developer
85,76,8,4,4,9,yes,no,app development,testing,parallel computing,cloud computing,Applications Developer
85,82,5,4,3,6,no,no,app development,web technologies,networks,cloud computing,Applications Developer
85,85,1,5,2,7,yes,no,python,database security,cloud computing,system developer,Applications Developer
85,63,4,0,5,5,no,no,shell programming,data science,Management,cloud computing,Applications Developer
85,79,3,0,3,5,yes,yes,shell programming,hacking,programming,cloud computing,Applications Developer
85,73,2,6,3,2,yes,yes,full stack,database security,networks,cloud computing,Applications Developer
85,69,2,1,7,1,no,no,machine learning,game development,parallel computing,Business process analyst,Applications Developer
85,75,6,4,9,2,no,yes,full stack,hacking,Software Engineering,security,Applications Developer
85,70,3,3,6,3,yes,no,shell programming,database security,Management,testing,Applications Developer
85,72,3,5,5,7,yes,yes,r programming,data science,hacking,cloud computing,Applications Developer
85,63,7,1,6,5,yes,no,shell programming,database security,Computer Architecture,security,Applications Developer
85,62,3,5,4,1,no,no,shell programming,web technologies,cloud computing,system developer,Applications Developer
85,62,6,3,3,4,no,yes,shell programming,system designing,cloud computing,security,Applications Developer
85,68,1,0,7,8,yes,no,python,system designing,parallel computing,developer,Applications Developer
70,72,6,6,2,5,yes,no,machine learning,web technologies,programming,testing,Applications Developer
70,80,6,0,7,8,yes,yes,hadoop,game development,cloud computing,Business process analyst,Applications Developer
70,65,1,4,6,6,no,yes,python,testing,hacking,security,Applications Developer
70,70,5,6,2,2,no,no,r programming,database security,hacking,developer,Applications Developer
70,78,5,5,2,3,no,no,shell programming,hacking,IOT,cloud computing,Applications Developer
70,60,6,3,3,6,no,no,shell programming,testing,Management,cloud computing,Applications Developer
70,75,4,3,2,5,yes,no,python,web technologies,IOT,developer,Applications Developer
70,77,2,2,7,8,no,yes,information security,data science,Computer Architecture,system developer,Applications Developer
70,71,6,6,4,1,yes,no,shell programming,system designing,IOT,Business process analyst,Applications Developer
70,79,6,3,9,1,no,yes,distro making,web technologies,Management,developer,Applications Developer
70,74,3,0,7,3,yes,yes,full stack,testing,programming,cloud computing,Applications Developer
70,76,9,2,5,9,no,no,distro making,data science,Management,cloud computing,Applications Developer
70,82,3,2,4,1,yes,no,machine learning,database security,IOT,cloud computing,Applications Developer
70,85,3,5,1,5,no,no,app development,web technologies,cloud computing,developer,Applications Developer
70,63,2,2,2,2,yes,no,shell programming,testing,parallel computing,developer,Applications Developer
70,79,5,3,9,6,yes,yes,distro making,hacking,hacking,developer,Applications Developer
70,73,6,6,4,3,no,yes,shell programming,game development,parallel computing,system developer,Applications Developer
70,69,3,4,1,1,yes,no,hadoop,data science,IOT,cloud computing,Applications Developer
70,75,9,4,4,2,no,no,shell programming,game development,IOT,Business process analyst,Applications Developer
70,70,4,0,6,4,no,no,r programming,data science,Computer Architecture,developer,Applications Developer
70,72,1,3,7,5,no,no,r programming,database security,hacking,security,Applications Developer
70,63,4,3,8,9,no,no,machine learning,game development,networks,testing,Applications Developer
70,62,4,0,8,7,yes,no,shell programming,cloud computing,cloud computing,security,Applications Developer
70,62,8,5,1,4,yes,no,hadoop,testing,Computer Architecture,system developer,Applications Developer
70,68,4,6,2,8,no,yes,distro making,web technologies,programming,cloud computing,Applications Developer
78,72,5,3,7,3,no,no,hadoop,system designing,Management,system developer,Applications Developer
78,80,2,2,2,3,yes,yes,hadoop,game development,Computer Architecture,Business process analyst,Applications Developer
78,65,8,1,2,8,no,no,hadoop,game development,parallel computing,testing,Applications Developer
78,70,2,3,4,8,yes,no,shell programming,game development,programming,system developer,Applications Developer
78,78,2,5,9,1,no,no,shell programming,system designing,programming,system developer,Applications Developer
78,60,7,4,9,3,yes,no,app development,data science,Software Engineering,cloud computing,Applications Developer
78,75,5,3,6,4,no,yes,distro making,cloud computing,Management,testing,Applications Developer
78,77,6,3,2,7,yes,yes,hadoop,hacking,parallel computing,developer,Applications Developer
78,71,9,0,1,5,no,yes,machine learning,web technologies,parallel computing,Business process analyst,Applications Developer
78,79,4,3,6,7,no,yes,machine learning,hacking,Computer Architecture,developer,Applications Developer
78,74,6,1,1,6,no,no,machine learning,cloud computing,programming,developer,Applications Developer
78,76,5,0,7,2,yes,yes,python,cloud computing,cloud computing,Business process analyst,Applications Developer
78,82,7,3,8,9,yes,yes,full stack,hacking,cloud computing,Business process analyst,Applications Developer
78,85,6,0,6,4,no,yes,python,hacking,programming,testing,Applications Developer
78,63,5,4,6,3,yes,no,full stack,testing,cloud computing,system developer,Applications Developer
78,79,2,2,4,6,yes,yes,shell programming,data science,programming,security,Applications Developer
78,73,2,0,1,8,yes,yes,distro making,data science,programming,Business process analyst,Applications Developer
78,69,4,6,8,3,no,no,machine learning,data science,Management,Business process analyst,Applications Developer
78,75,7,6,3,9,no,yes,full stack,system designing,Computer Architecture,testing,Applications Developer
78,70,4,6,8,4,yes,yes,information security,database security,cloud computing,testing,Applications Developer
78,72,4,5,7,4,yes,yes,information security,game development,Management,Business process analyst,Applications Developer
78,63,4,3,2,1,no,no,information security,hacking,IOT,system developer,Applications Developer
78,62,7,0,6,6,yes,yes,python,system designing,data engineering,system developer,Applications Developer
78,62,1,1,5,3,yes,yes,hadoop,database security,IOT,cloud computing,Applications Developer
78,68,9,5,9,6,no,no,hadoop,hacking,IOT,developer,Applications Developer
82,72,3,2,4,2,no,no,hadoop,system designing,data engineering,developer,Applications Developer
82,80,2,6,7,4,yes,yes,full stack,data science,Management,system developer,Applications Developer
82,65,1,6,8,1,no,no,shell programming,system designing,hacking,testing,Applications Developer
82,70,6,5,5,6,no,yes,hadoop,system designing,data engineering,testing,Applications Developer
82,78,1,1,7,7,no,no,information security,testing,data engineering,security,Applications Developer
82,60,1,6,7,9,no,yes,information security,database security,hacking,cloud computing,Applications Developer
82,75,8,6,2,1,no,yes,r programming,data science,cloud computing,security,Applications Developer
82,77,5,4,7,1,yes,no,information security,system designing,hacking,cloud computing,Applications Developer
82,71,6,1,1,7,no,yes,full stack,hacking,Software Engineering,system developer,Applications Developer
82,79,3,4,3,3,yes,yes,python,game development,networks,security,Applications Developer
82,74,4,1,7,8,yes,no,shell programming,game development,Computer Architecture,testing,Applications Developer
82,76,3,4,8,6,yes,yes,hadoop,testing,IOT,developer,Applications Developer
82,82,2,2,2,7,yes,yes,hadoop,system designing,programming,testing,Applications Developer
82,85,9,1,8,1,no,yes,shell programming,web technologies,Management,cloud computing,Applications Developer
82,63,9,1,5,6,no,yes,information security,hacking,Management,security,Applications Developer
82,79,3,5,2,1,no,no,python,database security,Computer Architecture,testing,Applications Developer
82,73,7,4,8,5,yes,no,full stack,cloud computing,cloud computing,cloud computing,Applications Developer
82,69,1,3,8,5,no,no,hadoop,hacking,data engineering,developer,Applications Developer
82,75,7,2,8,5,no,yes,shell programming,system designing,programming,system developer,Applications Developer
82,70,2,2,8,1,no,no,shell programming,web technologies,Management,Business process analyst,Applications Developer
82,72,1,1,2,6,no,no,distro making,game development,Management,system developer,Applications Developer
82,63,1,6,3,6,no,no,python,cloud computing,Software Engineering,Business process analyst,Applications Developer
68,62,2,6,7,1,yes,yes,machine learning,system designing,hacking,testing,Applications Developer
72,62,1,4,5,4,yes,no,distro making,web technologies,Computer Architecture,system developer,Applications Developer
75,68,1,6,4,2,yes,no,python,hacking,cloud computing,Business process analyst,Applications Developer
77,72,6,4,9,7,yes,yes,hadoop,testing,cloud computing,Business process analyst,Applications Developer
79,80,8,1,9,7,yes,yes,information security,game development,networks,developer,Applications Developer
82,65,7,2,1,8,no,yes,machine learning,data science,Software Engineering,security,Applications Developer
85,70,3,4,5,5,yes,yes,r programming,system designing,Software Engineering,security,Applications Developer
63,78,3,4,3,3,yes,no,information security,database security,programming,developer,Applications Developer
73,60,3,4,2,3,yes,no,python,hacking,Management,system developer,Applications Developer
69,75,1,1,9,1,no,yes,distro making,testing,Computer Architecture,developer,Applications Developer
70,77,7,1,9,4,no,no,r programming,data science,cloud computing,security,Applications Developer
62,71,8,2,1,8,no,yes,hadoop,database security,Software Engineering,developer,Applications Developer
88,79,7,4,9,3,yes,yes,python,hacking,parallel computing,cloud computing,Applications Developer
90,74,5,2,1,7,no,no,full stack,database security,cloud computing,security,Applications Developer
91,76,1,1,7,4,no,no,python,testing,hacking,developer,Applications Developer
92,82,8,3,7,3,yes,no,shell programming,database security,IOT,system developer,Applications Developer
93,85,1,6,6,7,no,no,full stack,data science,Computer Architecture,system developer,Applications Developer
68,63,7,5,3,2,yes,yes,machine learning,cloud computing,hacking,Business process analyst,Applications Developer
72,79,9,4,3,4,yes,no,shell programming,system designing,Management,system developer,Applications Developer
75,73,4,5,3,1,yes,yes,machine learning,hacking,programming,testing,Applications Developer
77,69,8,4,8,8,yes,no,python,data science,Software Engineering,Business process analyst,Applications Developer
79,75,5,3,6,4,no,no,hadoop,game development,data engineering,testing,Applications Developer
82,70,9,4,8,8,no,yes,shell programming,database security,Computer Architecture,Business process analyst,Applications Developer
85,72,7,4,1,9,yes,yes,information security,system designing,data engineering,security,Applications Developer
63,63,4,0,2,4,yes,no,python,web technologies,cloud computing,testing,Applications Developer
73,62,5,2,1,6,yes,no,shell programming,hacking,networks,security,Applications Developer
69,62,6,2,9,2,yes,yes,full stack,data science,networks,Business process analyst,Applications Developer
70,68,2,6,5,1,yes,no,full stack,cloud computing,parallel computing,cloud computing,Applications Developer
62,72,6,2,4,2,no,yes,distro making,system designing,data engineering,cloud computing,Applications Developer
88,75,8,3,7,2,no,no,full stack,database security,programming,cloud computing,Applications Developer
90,77,8,2,4,9,yes,no,r programming,testing,data engineering,system developer,Applications Developer
91,79,9,1,3,2,yes,no,r programming,cloud computing,hacking,Business process analyst,Applications Developer
92,82,5,4,3,4,no,yes,machine learning,game development,Management,Business process analyst,Applications Developer
93,85,2,3,6,6,yes,no,distro making,data science,cloud computing,system developer,Applications Developer
68,63,9,2,7,5,no,yes,shell programming,hacking,networks,system developer,Applications Developer
72,73,4,5,5,3,yes,yes,full stack,testing,Software Engineering,developer,Applications Developer
75,69,6,4,7,9,yes,no,python,system designing,Computer Architecture,security,Applications Developer
77,70,7,1,8,8,yes,yes,app development,database security,Management,Business process analyst,Applications Developer
79,62,1,1,8,1,yes,yes,python,hacking,hacking,testing,Applications Developer
82,88,7,4,5,5,no,no,app development,game development,Software Engineering,security,Applications Developer
85,90,3,2,1,7,no,yes,machine learning,game development,Software Engineering,testing,Applications Developer
63,91,1,6,2,3,no,yes,python,hacking,networks,testing,Applications Developer
73,92,1,3,1,9,no,no,shell programming,hacking,IOT,Business process analyst,Applications Developer
69,93,7,5,7,4,no,no,information security,testing,IOT,developer,Applications Developer
70,68,4,2,4,4,yes,yes,shell programming,web technologies,networks,testing,Applications Developer
62,72,1,2,9,6,no,no,full stack,hacking,networks,system developer,Applications Developer
88,75,7,0,8,8,yes,no,full stack,web technologies,data engineering,security,Applications Developer
90,77,4,0,1,5,yes,yes,python,testing,parallel computing,cloud computing,Applications Developer
91,79,1,1,2,2,yes,yes,distro making,hacking,networks,testing,Applications Developer
92,82,3,1,9,3,no,yes,information security,cloud computing,hacking,Business process analyst,Applications Developer
93,85,6,0,3,2,yes,yes,distro making,database security,hacking,security,Applications Developer
68,63,5,0,9,7,yes,yes,python,hacking,Computer Architecture,security,Applications Developer
72,73,7,1,7,8,yes,yes,app development,data science,Software Engineering,system developer,Applications Developer
75,69,2,2,2,5,no,yes,hadoop,testing,parallel computing,system developer,Applications Developer
77,70,4,2,9,3,yes,yes,app development,cloud computing,data engineering,testing,Applications Developer
79,62,6,0,3,7,no,yes,distro making,data science,parallel computing,system developer,Applications Developer
82,88,8,3,2,7,yes,no,r programming,web technologies,networks,system developer,Applications Developer
85,90,2,3,4,6,yes,no,python,data science,parallel computing,security,Applications Developer
63,91,9,1,5,4,no,no,shell programming,web technologies,Computer Architecture,cloud computing,Applications Developer
73,92,1,0,3,3,no,no,r programming,testing,data engineering,system developer,Applications Developer
69,93,4,1,7,9,no,no,information security,system designing,parallel computing,cloud computing,Applications Developer
70,68,1,2,1,8,no,yes,r programming,web technologies,data engineering,developer,Applications Developer
62,72,4,5,9,1,no,no,full stack,game development,Computer Architecture,Business process analyst,Applications Developer
88,75,4,4,6,7,no,no,machine learning,testing,networks,testing,Applications Developer
90,77,9,1,2,1,yes,yes,shell programming,system designing,programming,Business process analyst,Applications Developer
91,79,1,5,1,8,no,yes,r programming,cloud computing,cloud computing,cloud computing,Applications Developer
92,82,9,3,1,8,no,no,machine learning,database security,cloud computing,Business process analyst,Applications Developer
93,85,3,6,5,4,no,no,shell programming,testing,hacking,cloud computing,Applications Developer
68,63,3,6,4,5,yes,yes,python,web technologies,Management,Business process analyst,Applications Developer
72,73,8,0,1,6,yes,no,information security,cloud computing,programming,Business process analyst,Applications Developer
80,69,8,0,9,8,no,yes,distro making,hacking,cloud computing,cloud computing,Applications Developer
65,70,9,0,4,4,yes,yes,r programming,cloud computing,networks,developer,Applications Developer
70,62,2,2,2,4,yes,no,hadoop,data science,IOT,developer,Applications Developer
78,88,8,2,2,4,yes,no,python,testing,cloud computing,developer,Applications Developer
60,90,1,3,8,4,yes,yes,python,game development,Computer Architecture,security,Applications Developer
75,91,7,0,7,9,no,no,full stack,web technologies,IOT,testing,Applications Developer
77,92,1,6,2,2,yes,no,python,system designing,Management,developer,Applications Developer
71,93,1,2,5,1,yes,no,machine learning,data science,Software Engineering,developer,Applications Developer
79,68,8,2,2,9,yes,yes,distro making,database security,Software Engineering,testing,Applications Developer
74,72,4,4,7,5,no,no,shell programming,web technologies,Software Engineering,testing,Applications Developer
76,75,4,1,2,7,yes,yes,shell programming,database security,cloud computing,system developer,Applications Developer
82,77,1,2,8,1,no,no,distro making,cloud computing,IOT,security,Applications Developer
85,79,7,3,8,5,yes,yes,python,data science,Management,developer,Applications Developer
63,82,9,0,1,5,no,yes,distro making,testing,programming,developer,Applications Developer
79,85,3,5,7,5,no,no,distro making,hacking,Computer Architecture,developer,Applications Developer
73,63,5,2,8,6,no,yes,full stack,cloud computing,data engineering,security,Applications Developer
69,73,6,1,1,8,no,yes,r programming,database security,hacking,developer,Applications Developer
75,69,9,1,1,1,yes,yes,information security,system designing,IOT,testing,Applications Developer
70,70,3,1,9,5,no,yes,distro making,testing,Software Engineering,testing,Applications Developer
72,62,4,2,3,9,yes,yes,python,hacking,networks,security,Applications Developer
63,88,1,4,9,8,no,yes,shell programming,testing,cloud computing,cloud computing,Applications Developer
62,90,4,2,2,8,no,no,information security,hacking,data engineering,system developer,Applications Developer
62,91,2,0,9,7,no,no,r programming,web technologies,Computer Architecture,Business process analyst,Applications Developer
68,92,6,3,2,4,yes,no,full stack,data science,programming,security,Applications Developer
72,93,8,0,1,5,yes,no,distro making,game development,data engineering,security,Applications Developer
80,81,6,3,8,4,no,yes,python,cloud computing,cloud computing,security,Applications Developer
65,82,3,1,2,4,no,yes,r programming,system designing,Computer Architecture,developer,Applications Developer
70,35,9,3,6,7,no,yes,full stack,game development,Computer Architecture,system developer,Applications Developer
78,39,1,0,1,9,yes,yes,full stack,database security,programming,system developer,Applications Developer
60,40,8,1,6,8,no,no,distro making,data science,Management,developer,Applications Developer
75,41,9,5,9,9,no,no,python,system designing,hacking,testing,Applications Developer
77,42,3,5,7,6,no,no,python,testing,Software Engineering,Business process analyst,Applications Developer
75,68,7,1,4,3,yes,yes,information security,web technologies,programming,Business process analyst,Applications Developer
75,72,5,0,1,1,no,yes,app development,data science,Computer Architecture,cloud computing,Applications Developer
75,80,5,4,3,4,no,no,app development,game development,programming,Business process analyst,Applications Developer
75,65,9,6,4,9,no,no,information security,testing,networks,system developer,Applications Developer
75,70,3,3,8,8,yes,yes,shell programming,game development,cloud computing,Business process analyst,Applications Developer
75,78,5,3,9,6,no,no,full stack,database security,cloud computing,security,Applications Developer
75,60,1,0,9,6,no,no,machine learning,system designing,programming,Business process analyst,Applications Developer
75,75,3,4,1,1,no,no,information security,cloud computing,Management,system developer,Applications Developer
75,77,8,3,2,5,yes,no,shell programming,testing,hacking,cloud computing,Applications Developer
75,71,3,0,9,7,yes,no,distro making,data science,programming,system developer,Applications Developer
75,79,1,2,8,1,no,yes,distro making,cloud computing,hacking,security,Applications Developer
75,74,4,0,1,1,no,yes,hadoop,web technologies,networks,system developer,Applications Developer
75,76,7,1,6,7,yes,no,information security,database security,Computer Architecture,developer,Applications Developer
75,82,4,1,9,4,yes,no,shell programming,game development,data engineering,developer,Applications Developer
75,85,6,1,1,5,yes,no,r programming,system designing,IOT,testing,Applications Developer
75,63,2,2,4,2,no,no,shell programming,cloud computing,programming,testing,Applications Developer
75,79,1,2,7,6,no,no,full stack,database security,data engineering,developer,Applications Developer
75,73,3,5,5,7,yes,yes,distro making,hacking,cloud computing,system developer,Applications Developer
75,69,9,3,2,5,no,yes,full stack,game development,IOT,security,Applications Developer
75,75,4,4,5,8,yes,yes,app development,testing,Management,security,Applications Developer
75,70,2,0,7,1,no,no,r programming,web technologies,data engineering,cloud computing,Applications Developer
75,72,9,5,8,2,yes,no,distro making,game development,parallel computing,developer,Applications Developer
75,63,1,0,2,9,yes,no,r programming,system designing,networks,system developer,Applications Developer
75,62,1,6,4,2,yes,yes,shell programming,web technologies,Computer Architecture,system developer,Applications Developer
75,62,2,2,5,1,no,yes,distro making,web technologies,parallel computing,developer,Applications Developer
75,68,3,5,5,4,no,yes,hadoop,game development,Management,Business process analyst,Applications Developer
80,72,2,5,2,2,no,yes,machine learning,hacking,Management,testing,Applications Developer
80,80,2,0,9,1,yes,no,r programming,testing,programming,developer,Applications Developer
80,65,9,1,4,9,yes,no,machine learning,data science,hacking,security,Applications Developer
80,70,2,6,2,6,yes,yes,app development,game development,networks,cloud computing,Applications Developer
80,78,4,2,1,8,no,no,distro making,hacking,networks,developer,Applications Developer
80,60,3,6,4,9,no,no,distro making,database security,parallel computing,Business process analyst,Applications Developer
80,75,2,0,7,6,no,yes,distro making,database security,networks,testing,Applications Developer
80,77,5,5,2,9,no,no,hadoop,game development,Management,system developer,Applications Developer
80,71,9,3,2,8,no,yes,app development,web technologies,Software Engineering,cloud computing,Applications Developer
80,79,3,5,3,6,yes,no,hadoop,game development,IOT,testing,Applications Developer
80,74,7,1,7,5,no,no,app development,game development,hacking,security,Applications Developer
80,76,7,5,6,9,yes,yes,app development,web technologies,Management,cloud computing,Applications Developer
80,82,7,5,1,1,yes,yes,distro making,cloud computing,Software Engineering,system developer,Applications Developer
80,85,5,6,2,9,yes,yes,app development,hacking,Software Engineering,testing,Applications Developer
80,63,6,5,2,2,no,no,r programming,web technologies,data engineering,system developer,Applications Developer
80,79,7,4,8,1,yes,no,distro making,testing,Computer Architecture,developer,Applications Developer
80,73,6,4,8,9,no,no,distro making,web technologies,IOT,cloud computing,Applications Developer
80,69,4,2,1,2,no,yes,r programming,database security,hacking,developer,Applications Developer
80,75,3,3,2,3,no,no,full stack,game development,Software Engineering,cloud computing,Applications Developer
80,70,6,6,4,3,no,no,machine learning,testing,programming,Business process analyst,Applications Developer
80,72,8,5,5,1,yes,no,python,system designing,IOT,Business process analyst,Applications Developer
80,63,4,5,3,8,no,yes,hadoop,cloud computing,Software Engineering,testing,Applications Developer
80,62,8,0,6,8,no,yes,machine learning,data science,parallel computing,system developer,Applications Developer
80,62,5,2,6,4,no,no,hadoop,hacking,hacking,developer,Applications Developer
80,68,7,0,4,9,no,no,app development,data science,Management,testing,Applications Developer
85,72,8,5,8,9,no,no,information security,database security,parallel computing,system developer,Applications Developer
85,80,1,6,4,1,no,no,r programming,database security,programming,Business process analyst,Applications Developer
85,65,2,2,4,9,yes,no,distro making,web technologies,Management,system developer,Applications Developer
85,70,5,0,2,4,yes,yes,shell programming,testing,networks,Business process analyst,Applications Developer
85,78,1,2,2,7,yes,yes,information security,system designing,data engineering,cloud computing,Applications Developer
85,60,9,3,7,6,no,no,r programming,cloud computing,cloud computing,security,Applications Developer
85,75,9,2,9,7,yes,no,machine learning,testing,Computer Architecture,security,Applications Developer
85,77,6,0,9,3,no,yes,shell programming,game development,networks,security,Applications Developer
85,71,6,2,7,2,no,yes,information security,testing,hacking,Business process analyst,Applications Developer
85,79,6,1,4,1,yes,yes,shell programming,database security,parallel computing,Business process analyst,Applications Developer
85,74,5,3,2,1,no,no,shell programming,cloud computing,data engineering,testing,Applications Developer
85,76,8,6,8,2,no,no,distro making,web technologies,Computer Architecture,testing,Applications Developer
85,82,2,1,1,4,yes,yes,full stack,database security,networks,system developer,Applications Developer
85,85,8,1,8,9,no,yes,hadoop,testing,networks,developer,Applications Developer
85,63,4,2,4,3,no,yes,hadoop,cloud computing,cloud computing,testing,Applications Developer
85,79,9,1,3,3,no,no,machine learning,hacking,IOT,security,Applications Developer
85,73,8,6,4,4,no,no,information security,database security,parallel computing,testing,Applications Developer
85,69,1,5,9,6,yes,yes,full stack,hacking,IOT,security,Applications Developer
85,75,4,5,2,1,no,no,machine learning,database security,networks,system developer,Applications Developer
85,70,3,3,1,5,no,yes,r programming,database security,cloud computing,system developer,Applications Developer
85,72,3,5,2,3,yes,no,hadoop,game development,IOT,security,Applications Developer
85,63,8,6,6,1,no,no,app development,system designing,IOT,cloud computing,Applications Developer
85,62,9,4,9,5,yes,yes,shell programming,data science,data engineering,Business process analyst,Applications Developer
85,62,7,1,6,3,no,yes,hadoop,game development,IOT,system developer,Applications Developer
85,68,7,5,9,7,no,yes,information security,testing,hacking,cloud computing,Applications Developer
70,72,3,0,4,1,no,no,information security,testing,networks,security,Applications Developer
70,80,7,0,6,5,no,yes,python,testing,Management,cloud computing,Applications Developer
70,65,7,4,5,1,no,no,shell programming,web technologies,Management,developer,Applications Developer
70,70,2,4,9,5,no,no,information security,cloud computing,Software Engineering,cloud computing,Applications Developer
70,78,7,4,3,2,yes,no,r programming,database security,Computer Architecture,Business process analyst,Applications Developer
70,60,6,1,8,5,yes,no,app development,data science,networks,system developer,Applications Developer
70,75,8,0,4,1,yes,yes,python,data science,data engineering,testing,Applications Developer
70,77,3,0,9,4,yes,yes,hadoop,web technologies,data engineering,cloud computing,Applications Developer
70,71,1,6,4,2,no,yes,hadoop,system designing,IOT,developer,Applications Developer
70,79,6,2,2,1,yes,no,information security,database security,programming,security,Applications Developer
70,74,9,4,3,4,yes,yes,information security,system designing,Management,developer,Applications Developer
70,76,1,1,2,3,yes,no,information security,data science,programming,Business process analyst,Applications Developer
